[시간대별 통계]
time_bucket,total,fatal,error,warn,info,debug,top_node_1,top_node_1_count,top_node_2,top_node_2_count,top_node_3,top_node_3_count
2026-01-27 08:57,4478,0,96,18,4364,0,motor_driver_node-11,1729,logistics_module_node-19,1140,sysbot_monitor_hw_node-27,631
2026-01-27 08:58,5522,0,116,57,5349,0,sysbot_monitor_hw_node-27,2380,motor_driver_node-11,778,sysbot_monitor_node-28,569

[노드별 통계]
rank,node,total_count,percent,fatal,error,warn,info,debug
1,sysbot_monitor_hw_node-27,3011,30.11,0,0,72,2939,0
2026-01-27 08:57:48,ERROR,tsd_node-25,1769471868.8502810 [tsd_node-25] [08:57:48.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:48,WARN,sysbot_monitor_hw_node-27,1769471868.9015708 [sysbot_monitor_hw_node-27] [08:57:48.901] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:57:49,ERROR,motor_driver_node-11,"1769471869.3126645 [motor_driver_node-11] [08:57:49.312] [motor_2wd_2steer_quad.cpp(390)]check_motor_ready() ############## can not driving because motor is not ready : false , false , false , false"
2026-01-27 08:57:49,ERROR,motor_driver_node-11,"1769471869.3467932 [motor_driver_node-11] [08:57:49.346] [motor_2wd_2steer_quad.cpp(390)]check_motor_ready() ############## can not driving because motor is not ready : false , false , false , false"
2026-01-27 08:57:49,ERROR,tsd_node-25,1769471869.3501289 [tsd_node-25] [08:57:49.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:49,ERROR,motor_driver_node-11,"1769471869.3776207 [motor_driver_node-11] [08:57:49.377] [motor_2wd_2steer_quad.cpp(390)]check_motor_ready() ############## can not driving because motor is not ready : false , false , false , false"
2026-01-27 08:57:49,ERROR,motor_driver_node-11,"1769471869.4153402 [motor_driver_node-11] [08:57:49.415] [motor_2wd_2steer_quad.cpp(390)]check_motor_ready() ############## can not driving because motor is not ready : false , false , false , false"
2026-01-27 08:57:49,ERROR,motor_driver_node-11,"1769471869.6542225 [motor_driver_node-11] [08:57:49.653] [motor_2wd_2steer_quad.cpp(390)]check_motor_ready() ############## can not driving because motor is not ready : false , false , false , false"
2026-01-27 08:57:49,ERROR,motor_driver_node-11,"1769471869.6550305 [motor_driver_node-11] [08:57:49.654] [motor_2wd_2steer_quad.cpp(390)]check_motor_ready() ############## can not driving because motor is not ready : false , false , false , false"
2026-01-27 08:57:49,ERROR,tsd_node-25,1769471869.8500962 [tsd_node-25] [08:57:49.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:49,WARN,sysbot_monitor_hw_node-27,1769471869.9032547 [sysbot_monitor_hw_node-27] [08:57:49.902] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:57:50,ERROR,tsd_node-25,1769471870.3500013 [tsd_node-25] [08:57:50.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:50,ERROR,motor_driver_node-11,"1769471870.3566694 [motor_driver_node-11] [08:57:50.356] [motor_2wd_2steer_quad.cpp(390)]check_motor_ready() ############## can not driving because motor is not ready : false , false , false , false"
